Name, Latitude, Longitude, Image
"Schilderbrunnen",51.814488,9.403657,"http://lh3.googleusercontent.com/28nEoB3J064tpwVJgltLPp2jeinFIc9uwfUIYhWx1mnipJTPYiiMGrnsL3cwgCaL1AGUTi-yIgj3GKMT8wCoQHY5CweW"
"Heristal",51.813718,9.40356,"http://lh3.googleusercontent.com/L5DLutGixYndIygP9gamhgOJB8RGBX31-RzZh0mi-ty_vWD6kuOlstadR6PFebfkiZUVmAkVbE0Y_qVwP6iu03laKA"
"Totenkapelle",51.819187,9.399579,"http://lh3.googleusercontent.com/a3EhWce60jpR-vMo8b1-EGbCV6LDStibYYvsKZVirn68Eb2SUGSl5d4GPfV8gs_CVo3N7X4jJLm2FicG_UKrxc5nZdpz"
"Fensterkunst",51.819137,9.399255,"http://lh3.googleusercontent.com/QZCwHPUmAkxFpZb_Et_DVZVPpzuCMfQY6LghEsHe7FXe-gfiZIGTFI2aqoxNZ1z59GObf1PWyY-Loug15523RH2cr6Q"
"Wahret den Frieden",51.819573,9.399787,"http://lh3.googleusercontent.com/fSpVBGu3QeTKopybKx3HoHLnTpjFxqebHtQPzABFPrIPe2W4nsOjt1xf4HyvqWhjuDMMbW57Iip9akfE6HWYtqRJdg"
"Ich Bin Die Auferstehung - Kreuz",51.818538,9.399253,"http://lh3.googleusercontent.com/8rKb1iEDvx4UIEfKcoEJftx9iZycPrctV8Vfwt-BGEdDtbxt2ppIwtin1s-Hum8qoOZL6AAmI7S-ikvZ2BhkjEG4sa4"
"Statue an der Kapelle",51.818984,9.399872,"http://lh3.googleusercontent.com/kHEP0V7cDE5p3Q4ff3eddNaGCc-US63VoyEwXSavveK8K02kimUfkSzzF9MwhI-hEAVPBJ_FkeOu_-0XDhE7ICYJFQ"
"Willkommen in Albaxen",51.818233,9.401093,"http://lh3.googleusercontent.com/5De13ihEIbMMWU1U91MAVBlFB3ZD96FoqcgcoRVpI0TrbIIcD0mqslxfdp74CZwJ7pEbx0_n0Y-QbiCj5r5x7HCTN-c"
"Gedenktafel",51.819469,9.401895,"http://lh3.googleusercontent.com/91QAn1i1BrM8b4KepUUmg0Snc39A6N_FV4BU2Mr0uE0sIsnOYGCH_iQjhVbC08h7UCGAu0IpziFG_0MvJudSmZ-Jng"
"Kirche Albaxen",51.821366,9.401436,"http://lh3.googleusercontent.com/_RRzm4kK7JythOucfb8nKKSxphO1kYKAMM5h-FEeAs2SMD-jSskLqn5UgbM5krAbRbvPyQghfjqlq0UGyPp0LagC5FM"
"Alter Torbogen",51.821852,9.40077,"http://lh3.googleusercontent.com/3WcnqjkFrp-ylzk4LnDREwQXiKxoG59vM_uO6lOD5IyzVN3MTqlzHMiQwEzDiYuqDtFvpuc62jjeio64Srq-DRgQypZB"
"Rundwanderwege",51.821838,9.399492,"http://lh3.googleusercontent.com/u5WigUeVKXw709wpySYZjHGyMVfzNFYBT6s_rn4LOKfp4vzugBnJjAjhnKi0U_cW8Nd1MxSVGEdYg7yGyTQmSrqGtBg"
"Wanderkarte Albaxen",51.820861,9.400037,"http://lh3.googleusercontent.com/dNAGBj1y98C2GLNPiLVz5zPN1FrgKXE1mM6wKs1T5abowv6HqVNWExACLhUoReVYKjfz05AVj41T-zdsGfh6z5WaTzI-"
"Prozessionskapelle Albaxen",51.821911,9.396237,"http://lh3.googleusercontent.com/LKQ1olujIpjFFvr3iKhBS1JKtklIXWQLN6XfPfb1yoFJXzTkd3I4j_SN7RyF0fyB7ILIPcIXHm9lmTQ4rP6OjGS5Yw"
"Alte Schmiede ",51.822052,9.397599,"http://lh3.googleusercontent.com/FZWtbE_wbQUOpDXZgMbPyVPFUTT42VC_-sClhS1keSzuIXtujsNfDSkDB-Y6K_ASZvIBcRh7qQd7E2QCF4Q8hLryPQA"
"Im Kreuz Ist Heil",51.823538,9.398144,"http://lh3.googleusercontent.com/PGem3uRcqcx5P4Xr8UJUZbM79SnDL8E4DtZvjpyHPGfvLY4RXZjtQMxfu3fLef4jtC-HLuLmY87Hi-EVVOeC3Y58o1w"
"Backhaus Heimat und Verkehsverein Albaxen e.V.",51.820604,9.398644,"http://lh3.googleusercontent.com/dgzwyz4yz0QbfzH8YjIlm_EViwzs0qrV5jHft7wcBpZoW7F2MFcDxb_Akjg-q1BUK3MI_EVnRsQ9-KX-2cJmRsBKSCuu"
"Insektenhotel Wittrock",51.81745,9.416899,"http://lh3.googleusercontent.com/uLTmq_6hch0HuhUD7tdlhx90OLX_qMc-8YZulKPiob4R6VVnxzPdAQSYyhEPSGaMrb-wvGWvzae5mTyKhrFX0g53X9JP"
"Schutzhütte",51.816956,9.416847,"http://lh3.googleusercontent.com/QRKGENwPDWWvyakQe64iJb0m9TOPktY7CjXnxYj8p6fUWgivC-Y9hi0q9OCuue33b2kZQTKxRojNP0_TJ16aOlqmDtE"
"Feldkreuz",51.82747,9.393996,"http://lh3.googleusercontent.com/j2Pa3GyaR680qRDr9dxADD4Vlpfa8K5fSxG3iCrWFAjaITi0JS1dtrf2gPdiPF7N-hMTdROTwjIVV8HpsiA_poXWrvs"
"Feldkreuz",51.824885,9.388816,"http://lh3.googleusercontent.com/HwETzC4snMDtMSLueWzk6X_mbH9pYxNLpqOxv3NogFHp7lofIZU9-AGmjzDqnwqOOUPAAfoWWRQhjgCCGue79t407w"
"Marienkapelle",51.824739,9.390647,"http://lh3.googleusercontent.com/gUF6tZt1mW6DAkyKFbY4cM6hlbb5hAEYKQFubwQMpIuTLra22CUKou5J_7zsYDKpD-LGwhmLUotXNDCGlnvfMJpTUA"
"Grillhütte Albaxen",51.825299,9.387445,"http://lh3.googleusercontent.com/hdrLtTBMKPXJtSD_O2kljkFAvbq24mvSW_8JsW7F0S_IjDj2qLGUNJyXcbmM-QgYxvGRnrsDomwuLFgvbsOA782Tt0Y"
"Die Albaxer Trift ",51.825664,9.385995,"http://lh3.googleusercontent.com/BXfyJGAlSq-624-zdPuagU7p3yUE53SrSBLiL8eFhkrKIpJWhGEbUpB4la8l31S9Mk6o4njrhjZFksrj7IBQTdnpMQ"
